Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,,,
,,,,,,
,格式類型,,,,素材類型,
,繁體中文,英文,,,繁體中文,英文
,Mobile In-Bottom (MIB),Mobile In-Bottom (MIB),,,影片,Video
,Mobile In-Read (MIR),Mobile In-Read (MIR),,,橫幅,Display
,Cover,Cover,,,,
,,,,,,
,"(排序邏輯-先MI系列在前按字母, 再放Cover)",,,,(排序邏輯-舊UI原本先放Video再放Display),
,"(由於不同SuperDSP帳戶會開不同格式, 要有對應的格式才顯示其對應項目)",,,,,
,"(例如: 假設之後新格式選擇UI會開放給外部使用, 只有貝立德有開Cover格式, 其他客戶不會看到Cover項目)",,,,,
,,,,,,
,,,,,,
,,ERP-格式細項,,,,
,格式類型分群規則,格式(Ad Format),,,,
,格式類型,"""ad_format_name""",,,,
,Mobile In-Bottom (MIB),MIC,,,,
,Mobile In-Read (MIR),"MIR, MIRV",,,,
,Cover,MFS,,,,
,,,,,,
,,,,,,
,攤平順序(先是撈此SuperDSP合約主有開的格式後才以下方順序排序),,,"*此格式順序跟目前外部使用者的不同, 由於新的UI以後會開放給外部使用者, 在那之前會需要維護2套順序資訊",,
,依加入SuperDSP順序 -> 系列grouping (video -> display),,,,,
,id,name,格式類型,素材類型,,
,240,MIR Ticker (Video),Mobile In-Read (MIR),影片,,
,239,MIR Ticker (V+B),Mobile In-Read (MIR),影片,,
,248,MIR Ticker (V+B Multi),Mobile In-Read (MIR),影片,,
,238,MIR Ticker (Banner),Mobile In-Read (MIR),橫幅,,
,247,MIR Ticker (Banner Multi),Mobile In-Read (MIR),橫幅,,
,274,MIB Message (Video),Mobile In-Bottom (MIB),影片,,
,219,MIB Message (V+B),Mobile In-Bottom (MIB),影片,,
,197,MIR Page (Video),Mobile In-Read (MIR),影片,,
,198,MIR Page (Banner),Mobile In-Read (MIR),橫幅,,
,273,MIB Flash (Video),Mobile In-Bottom (MIB),影片,,
,133,MIB Flash (Banner),Mobile In-Bottom (MIB),橫幅,,
,203,MIB Flash Location (Video),Mobile In-Bottom (MIB),影片,,
,211,MIB Flash Location (Banner),Mobile In-Bottom (MIB),橫幅,,
,191,MIB Location (Video),Mobile In-Bottom (MIB),影片,,
,192,MIB Location (Banner),Mobile In-Bottom (MIB),橫幅,,
,55,MIR Transformer Gallery,Mobile In-Read (MIR),影片,,
,265,MIB Dash,Mobile In-Bottom (MIB),橫幅,,
,106,MIB Gallery,Mobile In-Bottom (MIB),橫幅,,
,59,Mobile In-Read Vertical (Video),Mobile In-Read (MIR),影片,,
,60,Mobile In-Read Vertical (Banner),Mobile In-Read (MIR),橫幅,,
,272,MIB (Video),Mobile In-Bottom (MIB),影片,,
,87,Mobile In-Bottom Instant,Mobile In-Bottom (MIB),影片,,
,82,Mobile In-Bottom,Mobile In-Bottom (MIB),影片,,
,8,Mobile In-Read Transformer,Mobile In-Read (MIR),影片,,
,7,Mobile In-Read Instant,Mobile In-Read (MIR),影片,,
,92,Cover (Video),Cover,影片,,
,137,Cover (Banner),Cover,橫幅,,
